id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa
1247	Univ Minnesota - Twin Cities	28799	12872	4621	1672	23264	18218
1248	W Virginia Univ	6264	2812	729	223	5048	3408
1249	Vanderbilt Univ	19160	8292	3534	1191	15624	13588
1251	Yale Univ	28569	11716	5724	2130	23964	19760
1253	Tulane Univ	5449	2191	743	239	4639	3474
1255	Columbia Univ	33011	12558	6757	2221	28386	22631
1258	Icahn Sch Med - Mt Sinai	15401	5653	3173	908	13272	10189
1260	NYU	23221	9626	4297	1512	19237	14490
1261	Rockefeller Univ	2754	887	826	283	2476	2423
1262	Yeshiva Univ	7947	3102	1407	410	6684	5359
1263	Univ Delaware	7125	3251	973	369	5798	3920
1265	Univ Oklahoma	9283	4041	1329	418	7536	5316
1266	Univ Notre Dame	6673	3033	941	369	5253	4001
1269	Caltech	14557	5125	3136	1125	12879	11957
1270	Temple Univ	8101	3370	1194	408	6716	4746
1271	Thomas Jefferson Univ	5260	2285	840	298	4262	3007
1272	Univ Penn	32731	13568	6592	2336	27387	22401
1274	Carnegie Mellon Univ	7850	3424	1279	499	6379	4850
1275	Univ Pittsburgh	26904	11816	4656	1576	22054	18280
1276	Oregon Hlth & Sci Univ	9655	3655	1934	557	8258	6812
1277	Princeton Univ	13702	5332	3090	1214	11661	10360
1278	Brown Univ	13142	5271	2124	700	11149	9114
1279	Brigham Young Univ	3946	2129	471	193	2856	1900
1280	Washington State Univ	9219	4362	1164	459	7436	4639
1281	N Carolina State Univ	15268	6594	2020	712	12730	8325
1282	Univ Nevada - Reno	3819	1723	452	150	3086	2032
1283	Virginia Commonwealth Univ	8567	4019	1257	423	6732	4929
1284	Univ California - Riverside	8414	3503	1446	529	6937	5589
1285	Univ Rochester	10823	4479	1774	573	8827	7540
1286	Univ Utah	17528	7530	2821	911	14426	10766
1287	Univ Texas - San Antonio	3856	1494	439	136	3288	1696
1288	Univ California - San Diego	30109	12158	5974	2077	25572	22213
1289	Univ California - San Francisco	26511	10070	5714	1888	23062	20022
1290	Univ California - Santa Barbara	10040	4251	2007	762	8389	6745
1291	Univ California - Santa Cruz	6017	1941	1179	304	5355	4560
1292	Univ Washington - Seattle	38208	14807	7482	2390	32696	26335
1293	St Louis Univ	4057	1794	532	171	3207	1995
1294	Washington Univ St Louis	19937	8796	4025	1443	16019	14339
1296	Stanford Univ	39938	16454	9316	3563	33366	27390
1297	Oklahoma State Univ - Stillwater	5085	2287	560	185	4089	2391
1298	Stony Brook Univ - SUNY	9903	3826	1573	467	8407	6777
1299	Univ Connecticut	11054	5244	1562	596	8790	5956
1300	Syracuse Univ	3484	1528	431	146	2807	1920
1301	Florida State Univ	8902	3875	1236	452	7309	4777
1302	Univ S Florida - Tampa	8992	4208	1228	436	7188	4545
1303	Arizona State Univ	14549	6603	2128	776	11829	7443
1304	Rensselaer Polytech Inst	3262	1573	409	148	2582	1685
1305	Univ Arizona	17143	6933	2617	809	14300	11512
1306	Univ Alabama - Tuscaloosa	5272	2262	642	208	4343	2321
1307	Penn State Univ	24924	11565	3655	1438	19970	13748
1308	Univ Illinois - Urbana-Champaign	20679	10009	3098	1284	16270	11823
1309	George Washington Univ	8395	3369	1328	424	6990	4817
1310	Georgetown Univ	5649	2232	848	259	4735	3398
1311	Wake Forest Univ	6972	2747	1043	281	5829	4618
1312	Univ Massachusetts Med Sch	5038	1889	888	289	4379	3706
1315	Med Univ Graz	4315	1458	740	155	3860	2904
1316	Med Univ Innsbruck	3985	1558	699	176	3371	2616
1317	Med Univ Vienna	9697	3970	1635	460	8360	6483
1318	Brandeis Univ	2108	808	388	135	1738	1646
1335	Griffith Univ	9764	4325	1359	501	8114	5480
1336	RMIT Univ	7710	3472	1083	449	6479	2547
1337	Univ S Australia	6171	2527	832	283	5362	3553
1338	Univ Technol - Sydney	9219	3585	1543	541	8172	5317
1339	Flinders Univ	6057	2549	825	278	5117	3264
1349	Alexandria Univ	4488	1975	359	120	3662	1670
1363	Univ Sains Malaysia	5569	3188	475	230	4198	1787
1364	Univ Guadalajara	2208	1000	115	39	1922	952
1371	HSE Univ	2986	1144	306	78	2521	1710
1373	King Abdulaziz Univ	14626	5035	2199	512	13301	5655
1374	King Saud Univ	15030	6618	1499	486	13001	6474
1375	King Fahd Univ Petrol & Minerals	4514	2649	580	273	3018	1043
1379	Univ Sfax	4421	2760	285	171	3232	957
1399	Karlsruhe Inst Technol	13131	5678	1752	668	10927	6980
